Constituency No,Constituency Name,Total Rounds,Rounds Done,Candidate S.N.,Candidate Name,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
204,204 - PANSKURA PURBA (West Bengal),12,12,2,DIPAK KUMAR PATRA,Indian National Congress,1688,11,1699,0.77
204,204 - PANSKURA PURBA (West Bengal),12,12,3,SUBRATA MAITY(RANA),Bharatiya Janata Party,108574,690,109264,49.5
204,204 - PANSKURA PURBA (West Bengal),12,12,4,SK IBRAHIM ALI,Communist Party of India (Marxist),11158,75,11233,5.09
204,204 - PANSKURA PURBA (West Bengal),12,12,5,ANANDA BARAN HANDA,Socialist Unity Centre Of India (COMMUNIST),956,17,973,0.44
204,204 - PANSKURA PURBA (West Bengal),12,12,6,ALFAJUDDIN ALI NAYEK,Jatiya Unnayan Party,3395,6,3401,1.54
204,204 - PANSKURA PURBA (West Bengal),12,12,7,BIMAL PORIA (DR.),Amra Bangalee,266,1,267,0.12
204,204 - PANSKURA PURBA (West Bengal),12,12,8,SHAIK AZAD ALI,Aam Janata Unnayan party,846,3,849,0.38
204,204 - PANSKURA PURBA (West Bengal),12,12,9,SK BARKAT ALI,Independent,293,1,294,0.13
204,204 - PANSKURA PURBA (West Bengal),12,12,10,NOTA,None of the Above,1391,5,1396,0.63
205,205 - PANSKURA PASCHIM (West Bengal),18,18,1,KALYAN ROY,Indian National Congress,2161,30,2191,0.85
205,205 - PANSKURA PASCHIM (West Bengal),18,18,2,SIRAJ KHAN,All India Trinamool Congress,104711,641,105352,40.77
205,205 - PANSKURA PASCHIM (West Bengal),18,18,3,SINTU SENAPATI,Bharatiya Janata Party,136447,1472,137919,53.37
205,205 - PANSKURA PASCHIM (West Bengal),18,18,4,ABJAL ALI SHA,All India Secular Front,8656,46,8702,3.37
205,205 - PANSKURA PASCHIM (West Bengal),18,18,5,SNEHALATA SAHOO PRADHAN,Socialist Unity Centre Of India (COMMUNIST),872,19,891,0.34
205,205 - PANSKURA PASCHIM (West Bengal),18,18,6,NARAYAN KINKAR MISHRA,Independent,1070,2,1072,0.41
205,205 - PANSKURA PASCHIM (West Bengal),18,18,7,SK SIRAJUDDIN,Independent,1043,0,1043,0.4
205,205 - PANSKURA PASCHIM (West Bengal),18,18,8,NOTA,None of the Above,1233,29,1262,0.49
206,206 - MOYNA (West Bengal),17,17,1,ASHOKE DINDA,Bharatiya Janata Party,125506,1660,127166,51.62
206,206 - MOYNA (West Bengal),17,17,2,CHANDAN MONDAL,All India Trinamool Congress,109847,1078,110925,45.03
206,206 - MOYNA (West Bengal),17,17,3,NIMAI BARMAN,Indian National Congress,1014,20,1034,0.42
206,206 - MOYNA (West Bengal),17,17,4,JAGADISH MAITI,Socialist Unity Centre Of India (COMMUNIST),749,20,769,0.31
206,206 - MOYNA (West Bengal),17,17,5,SWAPAN KUMAR BARMAN,Communist Party of India,4427,72,4499,1.83
206,206 - MOYNA (West Bengal),17,17,6,ABHOY BHOWMIK,Independent,105,1,106,0.04
206,206 - MOYNA (West Bengal),17,17,7,SANDIP SHEET,Independent,223,1,224,0.09
206,206 - MOYNA (West Bengal),17,17,8,SUMAN MAHAPATRA,Independent,548,1,549,0.22
206,206 - MOYNA (West Bengal),17,17,9,NOTA,None of the Above,1047,14,1061,0.43
207,207 - NANDAKUMAR (West Bengal),15,15,1,KHANRA NIRMAL,Bharatiya Janata Party,130333,1143,131476,52.73
207,207 - NANDAKUMAR (West Bengal),15,15,2,CHANDAN MAITI,Communist Party of India (Marxist),8906,114,9020,3.62
207,207 - NANDAKUMAR (West Bengal),15,15,3,SUKUMAR DE,All India Trinamool Congress,100071,802,100873,40.46
207,207 - NANDAKUMAR (West Bengal),15,15,4,SEKH MATIN,Indian National Congress,1640,21,1661,0.67
207,207 - NANDAKUMAR (West Bengal),15,15,5,ABDUL KADER DIN,Jatiya Unnayan Party,3445,11,3456,1.39
207,207 - NANDAKUMAR (West Bengal),15,15,6,SAUMITRA PATTANAYAK,Socialist Unity Centre Of India (COMMUNIST),380,7,387,0.16
207,207 - NANDAKUMAR (West Bengal),15,15,7,NIRMAL KUMAR ARI,Independent,651,4,655,0.26
207,207 - NANDAKUMAR (West Bengal),15,15,8,MARPHAT ALI KHAN,Independent,586,4,590,0.24
207,207 - NANDAKUMAR (West Bengal),15,15,9,NOTA,None of the Above,1189,9,1198,0.48
208,208 - MAHISADAL (West Bengal),22,22,1,KAJAL NAYEK DAS,Indian National Congress,1382,17,1399,0.59
208,208 - MAHISADAL (West Bengal),22,22,2,TILAK KUMAR CHAKRABORTY,All India Trinamool Congress,94540,806,95346,40.03
208,208 - MAHISADAL (West Bengal),22,22,3,PARITOSH PATTANAYAK,Communist Party of India (Marxist),11377,113,11490,4.82
208,208 - MAHISADAL (West Bengal),22,22,4,SUBHAS CHANDRA PANJA,Bharatiya Janata Party,120386,1198,121584,51.05
208,208 - MAHISADAL (West Bengal),22,22,5,KOUSHIK DAS,Jan Sangh Party,484,1,485,0.2
208,208 - MAHISADAL (West Bengal),22,22,6,TAPAN KUMAR MAITY,Socialist Unity Centre Of India (COMMUNIST),322,5,327,0.14
208,208 - MAHISADAL (West Bengal),22,22,7,SWARNAKAMAL DAS,Jatiya Unnayan Party,5577,26,5603,2.35
208,208 - MAHISADAL (West Bengal),22,22,8,SUBHASH CHANDRA GUMTYA,Independent,411,2,413,0.17
208,208 - MAHISADAL (West Bengal),22,22,9,SK. SAINUDDIN,Independent,696,2,698,0.29
208,208 - MAHISADAL (West Bengal),22,22,10,NOTA,None of the Above,836,7,843,0.35
209,209 - HALDIA (West Bengal),21,21,1,ABHIMANYU MONDAL,Indian National Congress,1605,12,1617,0.68
209,209 - HALDIA (West Bengal),21,21,2,ASOKE KUMAR PATRA,Communist Party of India (Marxist),18987,134,19121,7.99
209,209 - HALDIA (West Bengal),21,21,3,TAPASI MONDAL,All India Trinamool Congress,82683,438,83121,34.71
209,209 - HALDIA (West Bengal),21,21,4,PRADIP KUMAR BIJALI,Bharatiya Janata Party,130881,1302,132183,55.2
209,209 - HALDIA (West Bengal),21,21,5,KEYA RANI DAS,Aam Janata Unnayan party,1105,3,1108,0.46
209,209 - HALDIA (West Bengal),21,21,6,ANIRUDDHA GAYEN,Independent,772,1,773,0.32
209,209 - HALDIA (West Bengal),21,21,7,BHABATARAN SAHOO,Independent,457,0,457,0.19
209,209 - HALDIA (West Bengal),21,21,8,NOTA,None of the Above,1051,15,1066,0.45
210,210 - NANDIGRAM (West Bengal),19,19,1,ADHIKARI SUVENDU,Bharatiya Janata Party,125969,1332,127301,50.37
210,210 - NANDIGRAM (West Bengal),19,19,2,PABITRA KAR,All India Trinamool Congress,116737,899,117636,46.55
210,210 - NANDIGRAM (West Bengal),19,19,3,SEKH JARIATUL HOSSAIN,Indian National Congress,787,7,794,0.31
210,210 - NANDIGRAM (West Bengal),19,19,4,ALI MD SABE MIRAJ KHAN,All India Secular Front,1886,12,1898,0.75
210,210 - NANDIGRAM (West Bengal),19,19,5,BIMAL KUMAR MAITY,Socialist Unity Centre Of India (COMMUNIST),232,6,238,0.09
210,210 - NANDIGRAM (West Bengal),19,19,6,SANTI GOPAL GIRI,Communist Party of India,2947,50,2997,1.19
210,210 - NANDIGRAM (West Bengal),19,19,7,SAHIDUL HAQUE MONDAL,Aam Janata Unnayan party,60,8,68,0.03
210,210 - NANDIGRAM (West Bengal),19,19,8,MD. ABI ALA,Independent,62,9,71,0.03
210,210 - NANDIGRAM (West Bengal),19,19,9,MD. NURUL ISLAM,Independent,54,0,54,0.02
210,210 - NANDIGRAM (West Bengal),19,19,10,SANGITA CHAKRABORTY,Independent,165,2,167,0.07
210,210 - NANDIGRAM (West Bengal),19,19,11,SAHALAM ALI,Independent,578,1,579,0.23
210,210 - NANDIGRAM (West Bengal),19,19,12,NOTA,None of the Above,912,7,919,0.36
211,211 - CHANDIPUR (West Bengal),13,13,1,AHMED SK. TASLIM,Indian National Congress,1186,21,1207,0.5
211,211 - CHANDIPUR (West Bengal),13,13,2,UTTAM BARIK,All India Trinamool Congress,104723,1054,105777,43.72
211,211 - CHANDIPUR (West Bengal),13,13,3,PIJUSH KANTI DAS,Bharatiya Janata Party,124701,1346,126047,52.09
211,211 - CHANDIPUR (West Bengal),13,13,4,RITA DAS,Communist Party of India (Marxist),6449,119,6568,2.71
211,211 - CHANDIPUR (West Bengal),13,13,5,AYUB KHAN,Jatiya Unnayan Party,673,2,675,0.28
211,211 - CHANDIPUR (West Bengal),13,13,6,ARJIT KALAM AZAD SK,Aam Janata Unnayan party,423,1,424,0.18
211,211 - CHANDIPUR (West Bengal),13,13,7,RITA BHOWMIK,Socialist Unity Centre Of India (COMMUNIST),632,10,642,0.27
211,211 - CHANDIPUR (West Bengal),13,13,8,NOTA,None of the Above,607,10,617,0.26
212,212 - PATASHPUR (West Bengal),18,18,1,TAPAN MAITY,Bharatiya Janata Party,115401,1188,116589,50.24
212,212 - PATASHPUR (West Bengal),18,18,2,PIJUS KANTI PANDA,All India Trinamool Congress,106523,1015,107538,46.34
212,212 - PATASHPUR (West Bengal),18,18,3,PRANAB KUMAR MAHAPATRA,Indian National Congress,1010,12,1022,0.44
212,212 - PATASHPUR (West Bengal),18,18,4,ABDUL AHAD ALI SK,Jatiya Unnayan Party,550,1,551,0.24
212,212 - PATASHPUR (West Bengal),18,18,5,SURJYENDU BIKASH PATRA,Socialist Unity Centre Of India (COMMUNIST),339,4,343,0.15
212,212 - PATASHPUR (West Bengal),18,18,6,SAIKAT GIRI,Communist Party of India,4510,85,4595,1.98
212,212 - PATASHPUR (West Bengal),18,18,7,RAJESH SENAPATI,Independent,573,1,574,0.25
212,212 - PATASHPUR (West Bengal),18,18,8,NOTA,None of the Above,822,14,836,0.36
213,213 - KANTHI UTTAR (West Bengal),26,26,1,DEBASIS BHUNYA,All India Trinamool Congress,108946,1087,110033,44.12
213,213 - KANTHI UTTAR (West Bengal),26,26,2,SUTANU MAITY,Communist Party of India (Marxist),4564,81,4645,1.86
213,213 - KANTHI UTTAR (West Bengal),26,26,3,SUBRATA MAHAPATRA,Indian National Congress,967,16,983,0.39
213,213 - KANTHI UTTAR (West Bengal),26,26,4,SUMITA SINHA,Bharatiya Janata Party,128833,1255,130088,52.16
213,213 - KANTHI UTTAR (West Bengal),26,26,5,SUBHASH CHANDRA PARIA,Socialist Unity Centre Of India (COMMUNIST),683,3,686,0.28
213,213 - KANTHI UTTAR (West Bengal),26,26,6,SWAPAN GHORAI,Indian Unity Centre,239,17,256,0.1
213,213 - KANTHI UTTAR (West Bengal),26,26,7,UMARANI GURIA,Independent,634,5,639,0.26
213,213 - KANTHI UTTAR (West Bengal),26,26,8,MANAS SHIT,Independent,197,4,201,0.08
213,213 - KANTHI UTTAR (West Bengal),26,26,9,SUBHAM JANA,Independent,410,13,423,0.17
213,213 - KANTHI UTTAR (West Bengal),26,26,10,NOTA,None of the Above,1456,11,1467,0.59
214,214 - BHAGABANPUR (West Bengal),24,24,1,BISWAJIT PANIGRAHI,Indian National Congress,1005,15,1020,0.41
214,214 - BHAGABANPUR (West Bengal),24,24,2,MAKHAN LAL MAHAPATRA,Bahujan Samaj Party,725,4,729,0.29
214,214 - BHAGABANPUR (West Bengal),24,24,3,MANAB KUMAR PARUA,All India Trinamool Congress,108835,873,109708,44.3
214,214 - BHAGABANPUR (West Bengal),24,24,4,SANTANU PRAMANIK,Bharatiya Janata Party,129356,1230,130586,52.73
214,214 - BHAGABANPUR (West Bengal),24,24,5,GOPAL CHANDRA PATRA,Socialist Unity Centre Of India (COMMUNIST),946,15,961,0.39
214,214 - BHAGABANPUR (West Bengal),24,24,6,PRATIVA RANI KAR SHASMAL,Revolutionary Socialist Party,3584,81,3665,1.48
214,214 - BHAGABANPUR (West Bengal),24,24,7,DIBYENDU MAITY,Independent,277,6,283,0.11
214,214 - BHAGABANPUR (West Bengal),24,24,8,NOTA,None of the Above,684,17,701,0.28
215,215 - KHEJURI (West Bengal),22,22,1,ASIT PRAMANIK,Indian National Congress,820,12,832,0.35
215,215 - KHEJURI (West Bengal),22,22,2,GOSTHO GOPAL DAS,Bahujan Samaj Party,543,4,547,0.23
215,215 - KHEJURI (West Bengal),22,22,3,RABIN CHANDRA MANDAL,All India Trinamool Congress,96235,950,97185,41.12
215,215 - KHEJURI (West Bengal),22,22,4,SUBRATA PAIK,Bharatiya Janata Party,128593,1282,129875,54.96
215,215 - KHEJURI (West Bengal),22,22,5,HIMANGSHU DAS,Communist Party of India (Marxist),5302,63,5365,2.27
215,215 - KHEJURI (West Bengal),22,22,6,PABITRA MONDAL,Socialist Unity Centre Of India (COMMUNIST),343,5,348,0.15
215,215 - KHEJURI (West Bengal),22,22,7,GHANASHYAM DAS,Independent,207,0,207,0.09
215,215 - KHEJURI (West Bengal),22,22,8,MUKUNDA MONDAL,Independent,506,1,507,0.21
215,215 - KHEJURI (West Bengal),22,22,9,RABIN MANDAL,Independent,592,17,609,0.26
215,215 - KHEJURI (West Bengal),22,22,10,SUBRATA PAIK,Independent,223,29,252,0.11
215,215 - KHEJURI (West Bengal),22,22,11,NOTA,None of the Above,589,12,601,0.25
216,216 - KANTHI DAKSHIN (West Bengal),26,26,1,ARUP KUMAR DAS,Bharatiya Janata Party,116110,2109,118219,55.54
216,216 - KANTHI DAKSHIN (West Bengal),26,26,2,TARUN KUMAR JANA,All India Trinamool Congress,85573,1174,86747,40.76
216,216 - KANTHI DAKSHIN (West Bengal),26,26,3,MASUD MALLIK,Indian National Congress,834,21,855,0.4
216,216 - KANTHI DAKSHIN (West Bengal),26,26,4,HIRALAL MIRDHA,Bahujan Samaj Party,195,3,198,0.09
216,216 - KANTHI DAKSHIN (West Bengal),26,26,5,TEHERAN HOSSAIN,Communist Party of India,3721,147,3868,1.82
216,216 - KANTHI DAKSHIN (West Bengal),26,26,6,RAFIKUL ISLAM,Socialist Unity Centre Of India (COMMUNIST),363,9,372,0.17
216,216 - KANTHI DAKSHIN (West Bengal),26,26,7,AJITESH PAHARI,Independent,63,11,74,0.03
216,216 - KANTHI DAKSHIN (West Bengal),26,26,8,TAPAS KUMAR ADHIKARI,Independent,127,15,142,0.07
216,216 - KANTHI DAKSHIN (West Bengal),26,26,9,BISWAJIT JANA,Independent,162,4,166,0.08
216,216 - KANTHI DAKSHIN (West Bengal),26,26,10,RAJ KUMAR SHEET,Independent,898,8,906,0.43
216,216 - KANTHI DAKSHIN (West Bengal),26,26,11,NOTA,None of the Above,1260,28,1288,0.61
217,217 - RAMNAGAR (West Bengal),26,26,1,AKHIL GIRI,All India Trinamool Congress,103868,1001,104869,42.83
217,217 - RAMNAGAR (West Bengal),26,26,2,ASOKE KUMAR MAITI,Communist Party of India (Marxist),5148,91,5239,2.14
217,217 - RAMNAGAR (West Bengal),26,26,3,DR. CHANDRA SEKHAR MONDAL,Bharatiya Janata Party,130466,1342,131808,53.83
217,217 - RAMNAGAR (West Bengal),26,26,4,NARAYAN BARMAN,Socialist Unity Centre Of India (COMMUNIST),631,4,635,0.26
217,217 - RAMNAGAR (West Bengal),26,26,5,AHAMADULLAH KHAN MD.,Independent,169,4,173,0.07
217,217 - RAMNAGAR (West Bengal),26,26,6,CHANDRA SEKHAR DEY,Independent,624,3,627,0.26
217,217 - RAMNAGAR (West Bengal),26,26,7,SRIKRISHNA BHUNIA,Independent,213,1,214,0.09
217,217 - RAMNAGAR (West Bengal),26,26,8,NOTA,None of the Above,1268,9,1277,0.52
218,218 - EGRA (West Bengal),18,18,1,ANJAN KUMAR PATTANAYAK,Indian National Congress,1745,15,1760,0.65
218,218 - EGRA (West Bengal),18,18,2,ADHIKARI DIBYENDU,Bharatiya Janata Party,141231,1439,142670,52.96
218,218 - EGRA (West Bengal),18,18,3,TARUN KUMAR MAITY,All India Trinamool Congress,115977,1001,116978,43.43
218,218 - EGRA (West Bengal),18,18,4,SUBRATA PANDA,Communist Party of India (Marxist),5636,100,5736,2.13
218,218 - EGRA (West Bengal),18,18,5,SANATAN GIRI,Socialist Unity Centre Of India (COMMUNIST),960,8,968,0.36
218,218 - EGRA (West Bengal),18,18,6,SK ARIF IKBAL,Independent,537,2,539,0.2
218,218 - EGRA (West Bengal),18,18,7,NOTA,None of the Above,712,10,722,0.27
219,219 - DANTAN (West Bengal),19,19,1,AJIT KUMAR JANA,Bharatiya Janata Party,109458,801,110259,50.49
219,219 - DANTAN (West Bengal),19,19,2,UTPAL DATTA,Indian National Congress,1101,8,1109,0.51
219,219 - DANTAN (West Bengal),19,19,3,MANIK MAITI,All India Trinamool Congress,99373,510,99883,45.74
219,219 - DANTAN (West Bengal),19,19,4,MAIDUL HODA,Aam Janata Unnayan party,624,0,624,0.29
219,219 - DANTAN (West Bengal),19,19,5,SHYAMAL KANTI DASPATTANAYEK,Communist Party of India,3542,38,3580,1.64
219,219 - DANTAN (West Bengal),19,19,6,SUBHASH DAS,Socialist Unity Centre Of India (COMMUNIST),1185,4,1189,0.54
219,219 - DANTAN (West Bengal),19,19,7,AJIT KUMAR KANANGO,Independent,519,0,519,0.24
219,219 - DANTAN (West Bengal),19,19,8,NOTA,None of the Above,1202,9,1211,0.55
220,220 - NAYAGRAM (West Bengal),21,21,1,AMIYA KISKU,Bharatiya Janata Party,99691,1166,100857,48.56
220,220 - NAYAGRAM (West Bengal),21,21,2,DULAL MURMU,All India Trinamool Congress,93661,772,94433,45.46
220,220 - NAYAGRAM (West Bengal),21,21,3,DR. PULIN BIHARI BASKE,Communist Party of India (Marxist),5287,51,5338,2.57
220,220 - NAYAGRAM (West Bengal),21,21,4,PRASANTA MURMU,Indian National Congress,888,11,899,0.43
220,220 - NAYAGRAM (West Bengal),21,21,5,KALICHARAN BESHRA,Socialist Unity Centre Of India (COMMUNIST),506,2,508,0.24
220,220 - NAYAGRAM (West Bengal),21,21,6,JITEN SAREN,Independent,434,3,437,0.21
220,220 - NAYAGRAM (West Bengal),21,21,7,DILIP KUMAR KISKU,Independent,529,6,535,0.26
220,220 - NAYAGRAM (West Bengal),21,21,8,DHIREN MURMU,Independent,507,4,511,0.25
220,220 - NAYAGRAM (West Bengal),21,21,9,BANKA CHAND MANDI,Independent,1305,0,1305,0.63
220,220 - NAYAGRAM (West Bengal),21,21,10,NOTA,None of the Above,2874,16,2890,1.39
221,221 - GOPIBALLAVPUR (West Bengal),25,25,1,AJIT MAHATA,All India Trinamool Congress,87135,873,88008,41.24
221,221 - GOPIBALLAVPUR (West Bengal),25,25,2,RAJESH MAHATA,Bharatiya Janata Party,113565,1118,114683,53.75
221,221 - GOPIBALLAVPUR (West Bengal),25,25,3,SOURAV GHOSH,Indian National Congress,1496,25,1521,0.71
221,221 - GOPIBALLAVPUR (West Bengal),25,25,4,DHARMAPAL BISUI,Socialist Unity Centre Of India (COMMUNIST),413,2,415,0.19
221,221 - GOPIBALLAVPUR (West Bengal),25,25,5,BIKASH SHARANGI,Communist Party of India,3105,44,3149,1.48
221,221 - GOPIBALLAVPUR (West Bengal),25,25,6,AJIT MAHATO,Independent,658,2,660,0.31
221,221 - GOPIBALLAVPUR (West Bengal),25,25,7,KANAILAL RAUT,Independent,667,10,677,0.32
221,221 - GOPIBALLAVPUR (West Bengal),25,25,8,BIMAL PAL,Independent,529,0,529,0.25
221,221 - GOPIBALLAVPUR (West Bengal),25,25,9,SUBHASH MAHATO,Independent,1209,0,1209,0.57
221,221 - GOPIBALLAVPUR (West Bengal),25,25,10,NOTA,None of the Above,2520,12,2532,1.19
222,222 - JHARGRAM (West Bengal),24,24,1,ARJUN KUMAR MAHATA,Communist Party of India (Marxist),6466,138,6604,2.99
222,222 - JHARGRAM (West Bengal),24,24,2,PRASENJIT DE,Indian National Congress,1453,53,1506,0.68
222,222 - JHARGRAM (West Bengal),24,24,3,MONGAL SAREN,All India Trinamool Congress,81697,1033,82730,37.44
222,222 - JHARGRAM (West Bengal),24,24,4,LAKSHMI KANTA SAU,Bharatiya Janata Party,119065,1812,120877,54.71
222,222 - JHARGRAM (West Bengal),24,24,5,SUNDAR MOHAN MURMU,Bahujan Samaj Party,1344,12,1356,0.61
222,222 - JHARGRAM (West Bengal),24,24,6,JOYRAM CHALAK,Amra Bangalee,381,4,385,0.17
222,222 - JHARGRAM (West Bengal),24,24,7,SUBHAS CHANDRA SINGHA,Socialist Unity Centre Of India (COMMUNIST),525,5,530,0.24
222,222 - JHARGRAM (West Bengal),24,24,8,ABHIJIT SINGHA,Independent,658,10,668,0.3
222,222 - JHARGRAM (West Bengal),24,24,9,ASHOKE MAHATA,Independent,1004,6,1010,0.46
222,222 - JHARGRAM (West Bengal),24,24,10,PRABIR MANDI,Independent,993,15,1008,0.46
222,222 - JHARGRAM (West Bengal),24,24,11,PRABIR MAHATA,Independent,1235,15,1250,0.57
222,222 - JHARGRAM (West Bengal),24,24,12,SUBHASIS KARAK,Independent,751,3,754,0.34
222,222 - JHARGRAM (West Bengal),24,24,13,NOTA,None of the Above,2240,22,2262,1.02
223,223 - KESHIARY (West Bengal),22,22,1,KALACHAND TUDU,Indian National Congress,1311,8,1319,0.59
223,223 - KESHIARY (West Bengal),22,22,2,TAPAN KUMAR SING,Bahujan Samaj Party,935,1,936,0.42
223,223 - KESHIARY (West Bengal),22,22,3,BHADRA HEMRAM,Bharatiya Janata Party,112886,827,113713,50.8
223,223 - KESHIARY (West Bengal),22,22,4,MALINA MURMU,Communist Party of India (Marxist),6177,71,6248,2.79
223,223 - KESHIARY (West Bengal),22,22,5,RAMJIBAN MANDI,All India Trinamool Congress,97413,413,97826,43.7
223,223 - KESHIARY (West Bengal),22,22,6,SUNIL SINGH,Socialist Unity Centre Of India (COMMUNIST),1228,5,1233,0.55
223,223 - KESHIARY (West Bengal),22,22,7,CHUNARAM SAREN,Independent,838,0,838,0.37
223,223 - KESHIARY (West Bengal),22,22,8,LAKSHMI KANTA HEMBRAM,Independent,391,0,391,0.17
223,223 - KESHIARY (West Bengal),22,22,9,NOTA,None of the Above,1324,14,1338,0.6
224,224 - KHARAGPUR SADAR (West Bengal),20,20,1,GOKUL KHATICK,Bahujan Samaj Party,772,3,775,0.48
224,224 - KHARAGPUR SADAR (West Bengal),20,20,2,DILIP GHOSH,Bharatiya Janata Party,88934,951,89885,55.6
224,224 - KHARAGPUR SADAR (West Bengal),20,20,3,DR. PAPIYA CHAKRABORTY,Indian National Congress,2843,36,2879,1.78
224,224 - KHARAGPUR SADAR (West Bengal),20,20,4,PRADIP SARKAR,All India Trinamool Congress,58999,380,59379,36.73
224,224 - KHARAGPUR SADAR (West Bengal),20,20,5,MADHUSUDAN ROY,Communist Party of India (Marxist),5341,110,5451,3.37
224,224 - KHARAGPUR SADAR (West Bengal),20,20,6,T. ANIL SINGH,Rashtriya Lok Janshakti Party,354,1,355,0.22
224,224 - KHARAGPUR SADAR (West Bengal),20,20,7,SURANJAN MAHAPATRA,Socialist Unity Centre Of India (COMMUNIST),803,3,806,0.5
224,224 - KHARAGPUR SADAR (West Bengal),20,20,8,AZFAR ALI KHAN,Independent,278,0,278,0.17
224,224 - KHARAGPUR SADAR (West Bengal),20,20,9,BISHNU KUMAR SAHU,Independent,562,1,563,0.35
224,224 - KHARAGPUR SADAR (West Bengal),20,20,10,NOTA,None of the Above,1270,20,1290,0.8
225,225 - NARAYANGARH (West Bengal),22,22,1,GIRI RAMAPRASAD,Bharatiya Janata Party,115133,917,116050,51.45
225,225 - NARAYANGARH (West Bengal),22,22,2,TAPAS SINHA,Communist Party of India (Marxist),7240,105,7345,3.26
225,225 - NARAYANGARH (West Bengal),22,22,3,PRATIBHA MAITI,All India Trinamool Congress,95205,478,95683,42.42
225,225 - NARAYANGARH (West Bengal),22,22,4,SK ALAM HOSSAIN,Indian National Congress,1358,9,1367,0.61
225,225 - NARAYANGARH (West Bengal),22,22,5,GANESH KISKU,Bharatiya Nyay-Adhikar Raksha Party,181,0,181,0.08
225,225 - NARAYANGARH (West Bengal),22,22,6,SHYAMA PADA JANA,Socialist Unity Centre Of India (COMMUNIST),1543,15,1558,0.69
225,225 - NARAYANGARH (West Bengal),22,22,7,SK NURUL HASAN,Aam Janata Unnayan party,208,1,209,0.09
225,225 - NARAYANGARH (West Bengal),22,22,8,AMIT DAS,Independent,245,1,246,0.11
225,225 - NARAYANGARH (West Bengal),22,22,9,TAPAS MAHAPATRA,Independent,900,5,905,0.4
225,225 - NARAYANGARH (West Bengal),22,22,10,NITYANANDA RAUT,Independent,347,1,348,0.15
225,225 - NARAYANGARH (West Bengal),22,22,11,NOTA,None of the Above,1640,11,1651,0.73
226,226 - SABANG (West Bengal),27,27,1,AMAL KUMAR PANDA,Bharatiya Janata Party,126496,1287,127783,49.66
226,226 - SABANG (West Bengal),27,27,2,ALAK KUMAR SAMAI,Indian National Congress,2232,40,2272,0.88
226,226 - SABANG (West Bengal),27,27,3,NAKUL CHANDRA BERA,Communist Party of India (Marxist),6849,129,6978,2.71
226,226 - SABANG (West Bengal),27,27,4,MANAS RANJAN BHUNIA,All India Trinamool Congress,115706,941,116647,45.33
226,226 - SABANG (West Bengal),27,27,5,TAPAN KUMAR SASMAL,Socialist Unity Centre Of India (COMMUNIST),1205,16,1221,0.47
226,226 - SABANG (West Bengal),27,27,6,DEBASHIS BARMAN,Amra Bangalee,629,1,630,0.24
226,226 - SABANG (West Bengal),27,27,7,GOPINATH DEY,Independent,212,6,218,0.08
226,226 - SABANG (West Bengal),27,27,8,RAFIK ALI SAIYED,Independent,286,0,286,0.11
226,226 - SABANG (West Bengal),27,27,9,NOTA,None of the Above,1288,17,1305,0.51
227,227 - PINGLA (West Bengal),24,24,1,AJIT MAITY,All India Trinamool Congress,105255,454,105709,43.55
227,227 - PINGLA (West Bengal),24,24,2,SUSANTA MANDAL,Indian National Congress,1655,13,1668,0.69
227,227 - PINGLA (West Bengal),24,24,3,SWAGATA MANNA,Bharatiya Janata Party,123210,979,124189,51.16
227,227 - PINGLA (West Bengal),24,24,4,ASHOK SEN,Communist Party of India,6363,60,6423,2.65
227,227 - PINGLA (West Bengal),24,24,5,KAZI ABDUR RASHID,Aam Janata Unnayan party,268,1,269,0.11
227,227 - PINGLA (West Bengal),24,24,6,SISHIR KUMAR MANNA,Socialist Unity Centre Of India (COMMUNIST),263,8,271,0.11
227,227 - PINGLA (West Bengal),24,24,7,AJIT MAITI,Independent,120,4,124,0.05
227,227 - PINGLA (West Bengal),24,24,8,ASISH KUMAR BHUNIA,Independent,145,1,146,0.06
227,227 - PINGLA (West Bengal),24,24,9,TAPAN DHAL,Independent,430,0,430,0.18
227,227 - PINGLA (West Bengal),24,24,10,TAJAMBUL HOSSAIN KHAN,Independent,953,0,953,0.39
227,227 - PINGLA (West Bengal),24,24,11,BASUDEB PAN,Independent,399,0,399,0.16
227,227 - PINGLA (West Bengal),24,24,12,NOTA,None of the Above,2162,11,2173,0.9
228,228 - KHARAGPUR (West Bengal),19,19,1,UJJAL MUKHERJEE,Indian National Congress,1561,9,1570,0.75
228,228 - KHARAGPUR (West Bengal),19,19,2,TAPAN BHUYA,Bharatiya Janata Party,94614,834,95448,45.77
228,228 - KHARAGPUR (West Bengal),19,19,3,DINEN ROY,All India Trinamool Congress,97970,350,98320,47.14
228,228 - KHARAGPUR (West Bengal),19,19,4,SK SAJAHAN ALI,Communist Party of India (Marxist),7884,67,7951,3.81
228,228 - KHARAGPUR (West Bengal),19,19,5,AKSHAY KHAN,Socialist Unity Centre Of India (COMMUNIST),609,4,613,0.29
228,228 - KHARAGPUR (West Bengal),19,19,6,BARSHA MAHAPATRA,Amra Bangalee,344,0,344,0.16
228,228 - KHARAGPUR (West Bengal),19,19,7,AVIJIT ROY,Independent,461,0,461,0.22
228,228 - KHARAGPUR (West Bengal),19,19,8,MANMATHA NATH DOLAI,Independent,1428,1,1429,0.69
